scenario_id,objective_id,dataset_id,dw_id,candidate_query_count,profile_id,target_category,target_state,complexity_level,virtual_node_depth,superposition_width,objective_file,scenario_file,validation_status
fm_a_sales_profit_month_produce_or,O_FM_A_SALES_PROFIT_MONTH_PRODUCE_OR,foodmart,foodmart,12,sales_profit_month,Produce,OR,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_produce_or.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_produce_or.json,pending_physical_execution
fm_a_sales_profit_month_produce_bc,O_FM_A_SALES_PROFIT_MONTH_PRODUCE_BC,foodmart,foodmart,12,sales_profit_month,Produce,BC,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_produce_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_produce_bc.json,pending_physical_execution
fm_a_sales_profit_month_snack_foods_wa,O_FM_A_SALES_PROFIT_MONTH_SNACK_FOODS_WA,foodmart,foodmart,12,sales_profit_month,Snack Foods,WA,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_snack_foods_wa.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_snack_foods_wa.json,pending_physical_execution
fm_a_sales_profit_month_snack_foods_ca,O_FM_A_SALES_PROFIT_MONTH_SNACK_FOODS_CA,foodmart,foodmart,12,sales_profit_month,Snack Foods,CA,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_snack_foods_ca.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_snack_foods_ca.json,pending_physical_execution
fm_a_sales_profit_month_snack_foods_or,O_FM_A_SALES_PROFIT_MONTH_SNACK_FOODS_OR,foodmart,foodmart,12,sales_profit_month,Snack Foods,OR,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_snack_foods_or.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_snack_foods_or.json,pending_physical_execution
fm_a_sales_profit_month_snack_foods_bc,O_FM_A_SALES_PROFIT_MONTH_SNACK_FOODS_BC,foodmart,foodmart,12,sales_profit_month,Snack Foods,BC,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_snack_foods_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_snack_foods_bc.json,pending_physical_execution
fm_a_sales_profit_month_canned_foods_wa,O_FM_A_SALES_PROFIT_MONTH_CANNED_FOODS_WA,foodmart,foodmart,12,sales_profit_month,Canned Foods,WA,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_canned_foods_wa.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_canned_foods_wa.json,pending_physical_execution
fm_a_sales_profit_month_canned_foods_ca,O_FM_A_SALES_PROFIT_MONTH_CANNED_FOODS_CA,foodmart,foodmart,12,sales_profit_month,Canned Foods,CA,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_canned_foods_ca.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_canned_foods_ca.json,pending_physical_execution
fm_a_sales_profit_month_canned_foods_or,O_FM_A_SALES_PROFIT_MONTH_CANNED_FOODS_OR,foodmart,foodmart,12,sales_profit_month,Canned Foods,OR,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_canned_foods_or.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_canned_foods_or.json,pending_physical_execution
fm_a_sales_profit_month_canned_foods_bc,O_FM_A_SALES_PROFIT_MONTH_CANNED_FOODS_BC,foodmart,foodmart,12,sales_profit_month,Canned Foods,BC,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_canned_foods_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_canned_foods_bc.json,pending_physical_execution
fm_a_sales_profit_month_frozen_foods_wa,O_FM_A_SALES_PROFIT_MONTH_FROZEN_FOODS_WA,foodmart,foodmart,12,sales_profit_month,Frozen Foods,WA,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_frozen_foods_wa.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_frozen_foods_wa.json,pending_physical_execution
fm_a_sales_profit_month_frozen_foods_ca,O_FM_A_SALES_PROFIT_MONTH_FROZEN_FOODS_CA,foodmart,foodmart,12,sales_profit_month,Frozen Foods,CA,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_frozen_foods_ca.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_frozen_foods_ca.json,pending_physical_execution
fm_a_sales_profit_month_frozen_foods_or,O_FM_A_SALES_PROFIT_MONTH_FROZEN_FOODS_OR,foodmart,foodmart,12,sales_profit_month,Frozen Foods,OR,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_frozen_foods_or.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_frozen_foods_or.json,pending_physical_execution
fm_a_sales_profit_month_frozen_foods_bc,O_FM_A_SALES_PROFIT_MONTH_FROZEN_FOODS_BC,foodmart,foodmart,12,sales_profit_month,Frozen Foods,BC,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_frozen_foods_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_frozen_foods_bc.json,pending_physical_execution
fm_a_unit_sales_month_beer_and_wine_wa,O_FM_A_UNIT_SALES_MONTH_BEER_AND_WINE_WA,foodmart,foodmart,12,unit_sales_month,Beer and Wine,WA,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_beer_and_wine_wa.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_beer_and_wine_wa.json,pending_physical_execution
fm_a_unit_sales_month_beer_and_wine_ca,O_FM_A_UNIT_SALES_MONTH_BEER_AND_WINE_CA,foodmart,foodmart,12,unit_sales_month,Beer and Wine,CA,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_beer_and_wine_ca.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_beer_and_wine_ca.json,pending_physical_execution
fm_a_unit_sales_month_beer_and_wine_or,O_FM_A_UNIT_SALES_MONTH_BEER_AND_WINE_OR,foodmart,foodmart,12,unit_sales_month,Beer and Wine,OR,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_beer_and_wine_or.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_beer_and_wine_or.json,pending_physical_execution
fm_a_unit_sales_month_beer_and_wine_bc,O_FM_A_UNIT_SALES_MONTH_BEER_AND_WINE_BC,foodmart,foodmart,12,unit_sales_month,Beer and Wine,BC,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_beer_and_wine_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_beer_and_wine_bc.json,pending_physical_execution
fm_a_unit_sales_month_dairy_wa,O_FM_A_UNIT_SALES_MONTH_DAIRY_WA,foodmart,foodmart,12,unit_sales_month,Dairy,WA,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_dairy_wa.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_dairy_wa.json,pending_physical_execution
fm_a_unit_sales_month_dairy_ca,O_FM_A_UNIT_SALES_MONTH_DAIRY_CA,foodmart,foodmart,12,unit_sales_month,Dairy,CA,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_dairy_ca.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_dairy_ca.json,pending_physical_execution
fm_a_unit_sales_month_dairy_or,O_FM_A_UNIT_SALES_MONTH_DAIRY_OR,foodmart,foodmart,12,unit_sales_month,Dairy,OR,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_dairy_or.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_dairy_or.json,pending_physical_execution
fm_a_unit_sales_month_dairy_bc,O_FM_A_UNIT_SALES_MONTH_DAIRY_BC,foodmart,foodmart,12,unit_sales_month,Dairy,BC,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_dairy_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_dairy_bc.json,pending_physical_execution
fm_a_unit_sales_month_produce_wa,O_FM_A_UNIT_SALES_MONTH_PRODUCE_WA,foodmart,foodmart,12,unit_sales_month,Produce,WA,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_produce_wa.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_produce_wa.json,pending_physical_execution
fm_a_unit_sales_month_produce_ca,O_FM_A_UNIT_SALES_MONTH_PRODUCE_CA,foodmart,foodmart,12,unit_sales_month,Produce,CA,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_produce_ca.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_produce_ca.json,pending_physical_execution
fm_a_unit_sales_month_produce_or,O_FM_A_UNIT_SALES_MONTH_PRODUCE_OR,foodmart,foodmart,12,unit_sales_month,Produce,OR,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_produce_or.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_produce_or.json,pending_physical_execution
fm_a_unit_sales_month_produce_bc,O_FM_A_UNIT_SALES_MONTH_PRODUCE_BC,foodmart,foodmart,12,unit_sales_month,Produce,BC,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_produce_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_produce_bc.json,pending_physical_execution
fm_a_unit_sales_month_snack_foods_wa,O_FM_A_UNIT_SALES_MONTH_SNACK_FOODS_WA,foodmart,foodmart,12,unit_sales_month,Snack Foods,WA,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_snack_foods_wa.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_snack_foods_wa.json,pending_physical_execution
fm_a_unit_sales_month_snack_foods_ca,O_FM_A_UNIT_SALES_MONTH_SNACK_FOODS_CA,foodmart,foodmart,12,unit_sales_month,Snack Foods,CA,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_snack_foods_ca.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_snack_foods_ca.json,pending_physical_execution
fm_a_unit_sales_month_snack_foods_or,O_FM_A_UNIT_SALES_MONTH_SNACK_FOODS_OR,foodmart,foodmart,12,unit_sales_month,Snack Foods,OR,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_snack_foods_or.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_snack_foods_or.json,pending_physical_execution
fm_a_unit_sales_month_snack_foods_bc,O_FM_A_UNIT_SALES_MONTH_SNACK_FOODS_BC,foodmart,foodmart,12,unit_sales_month,Snack Foods,BC,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_snack_foods_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_snack_foods_bc.json,pending_physical_execution
fm_a_unit_sales_month_canned_foods_wa,O_FM_A_UNIT_SALES_MONTH_CANNED_FOODS_WA,foodmart,foodmart,12,unit_sales_month,Canned Foods,WA,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_canned_foods_wa.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_canned_foods_wa.json,pending_physical_execution
fm_a_unit_sales_month_canned_foods_ca,O_FM_A_UNIT_SALES_MONTH_CANNED_FOODS_CA,foodmart,foodmart,12,unit_sales_month,Canned Foods,CA,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_canned_foods_ca.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_canned_foods_ca.json,pending_physical_execution
fm_a_unit_sales_month_canned_foods_or,O_FM_A_UNIT_SALES_MONTH_CANNED_FOODS_OR,foodmart,foodmart,12,unit_sales_month,Canned Foods,OR,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_canned_foods_or.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_canned_foods_or.json,pending_physical_execution
fm_a_unit_sales_month_canned_foods_bc,O_FM_A_UNIT_SALES_MONTH_CANNED_FOODS_BC,foodmart,foodmart,12,unit_sales_month,Canned Foods,BC,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_canned_foods_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_canned_foods_bc.json,pending_physical_execution
fm_a_unit_sales_month_frozen_foods_wa,O_FM_A_UNIT_SALES_MONTH_FROZEN_FOODS_WA,foodmart,foodmart,12,unit_sales_month,Frozen Foods,WA,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_frozen_foods_wa.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_frozen_foods_wa.json,pending_physical_execution
fm_a_unit_sales_month_frozen_foods_ca,O_FM_A_UNIT_SALES_MONTH_FROZEN_FOODS_CA,foodmart,foodmart,12,unit_sales_month,Frozen Foods,CA,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_frozen_foods_ca.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_frozen_foods_ca.json,pending_physical_execution
fm_a_unit_sales_month_frozen_foods_or,O_FM_A_UNIT_SALES_MONTH_FROZEN_FOODS_OR,foodmart,foodmart,12,unit_sales_month,Frozen Foods,OR,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_frozen_foods_or.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_frozen_foods_or.json,pending_physical_execution
fm_a_unit_sales_month_frozen_foods_bc,O_FM_A_UNIT_SALES_MONTH_FROZEN_FOODS_BC,foodmart,foodmart,12,unit_sales_month,Frozen Foods,BC,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_frozen_foods_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_frozen_foods_bc.json,pending_physical_execution
fm_a_category_state_profitability_beer_and_wine_wa,O_FM_A_CATEGORY_STATE_PROFITABILITY_BEER_AND_WINE_WA,foodmart,foodmart,12,category_state_profitability,Beer and Wine,WA,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_beer_and_wine_wa.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_beer_and_wine_wa.json,pending_physical_execution
fm_a_category_state_profitability_beer_and_wine_ca,O_FM_A_CATEGORY_STATE_PROFITABILITY_BEER_AND_WINE_CA,foodmart,foodmart,12,category_state_profitability,Beer and Wine,CA,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_beer_and_wine_ca.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_beer_and_wine_ca.json,pending_physical_execution
fm_a_category_state_profitability_beer_and_wine_or,O_FM_A_CATEGORY_STATE_PROFITABILITY_BEER_AND_WINE_OR,foodmart,foodmart,12,category_state_profitability,Beer and Wine,OR,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_beer_and_wine_or.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_beer_and_wine_or.json,pending_physical_execution
fm_a_category_state_profitability_beer_and_wine_bc,O_FM_A_CATEGORY_STATE_PROFITABILITY_BEER_AND_WINE_BC,foodmart,foodmart,12,category_state_profitability,Beer and Wine,BC,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_beer_and_wine_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_beer_and_wine_bc.json,pending_physical_execution
fm_a_category_state_profitability_dairy_wa,O_FM_A_CATEGORY_STATE_PROFITABILITY_DAIRY_WA,foodmart,foodmart,12,category_state_profitability,Dairy,WA,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_dairy_wa.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_dairy_wa.json,pending_physical_execution
fm_a_category_state_profitability_dairy_ca,O_FM_A_CATEGORY_STATE_PROFITABILITY_DAIRY_CA,foodmart,foodmart,12,category_state_profitability,Dairy,CA,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_dairy_ca.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_dairy_ca.json,pending_physical_execution
fm_a_category_state_profitability_dairy_or,O_FM_A_CATEGORY_STATE_PROFITABILITY_DAIRY_OR,foodmart,foodmart,12,category_state_profitability,Dairy,OR,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_dairy_or.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_dairy_or.json,pending_physical_execution
fm_a_category_state_profitability_dairy_bc,O_FM_A_CATEGORY_STATE_PROFITABILITY_DAIRY_BC,foodmart,foodmart,12,category_state_profitability,Dairy,BC,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_dairy_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_dairy_bc.json,pending_physical_execution
fm_a_category_state_profitability_produce_wa,O_FM_A_CATEGORY_STATE_PROFITABILITY_PRODUCE_WA,foodmart,foodmart,12,category_state_profitability,Produce,WA,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_produce_wa.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_produce_wa.json,pending_physical_execution
fm_a_category_state_profitability_produce_ca,O_FM_A_CATEGORY_STATE_PROFITABILITY_PRODUCE_CA,foodmart,foodmart,12,category_state_profitability,Produce,CA,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_produce_ca.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_produce_ca.json,pending_physical_execution
fm_a_category_state_profitability_produce_or,O_FM_A_CATEGORY_STATE_PROFITABILITY_PRODUCE_OR,foodmart,foodmart,12,category_state_profitability,Produce,OR,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_produce_or.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_produce_or.json,pending_physical_execution
fm_a_category_state_profitability_produce_bc,O_FM_A_CATEGORY_STATE_PROFITABILITY_PRODUCE_BC,foodmart,foodmart,12,category_state_profitability,Produce,BC,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_produce_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_produce_bc.json,pending_physical_execution
fm_a_category_state_profitability_snack_foods_wa,O_FM_A_CATEGORY_STATE_PROFITABILITY_SNACK_FOODS_WA,foodmart,foodmart,12,category_state_profitability,Snack Foods,WA,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_snack_foods_wa.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_snack_foods_wa.json,pending_physical_execution
fm_a_category_state_profitability_snack_foods_ca,O_FM_A_CATEGORY_STATE_PROFITABILITY_SNACK_FOODS_CA,foodmart,foodmart,12,category_state_profitability,Snack Foods,CA,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_snack_foods_ca.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_snack_foods_ca.json,pending_physical_execution
fm_a_category_state_profitability_snack_foods_or,O_FM_A_CATEGORY_STATE_PROFITABILITY_SNACK_FOODS_OR,foodmart,foodmart,12,category_state_profitability,Snack Foods,OR,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_snack_foods_or.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_snack_foods_or.json,pending_physical_execution
fm_a_category_state_profitability_snack_foods_bc,O_FM_A_CATEGORY_STATE_PROFITABILITY_SNACK_FOODS_BC,foodmart,foodmart,12,category_state_profitability,Snack Foods,BC,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_snack_foods_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_snack_foods_bc.json,pending_physical_execution
fm_a_category_state_profitability_canned_foods_wa,O_FM_A_CATEGORY_STATE_PROFITABILITY_CANNED_FOODS_WA,foodmart,foodmart,12,category_state_profitability,Canned Foods,WA,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_canned_foods_wa.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_canned_foods_wa.json,pending_physical_execution
fm_a_category_state_profitability_canned_foods_ca,O_FM_A_CATEGORY_STATE_PROFITABILITY_CANNED_FOODS_CA,foodmart,foodmart,12,category_state_profitability,Canned Foods,CA,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_canned_foods_ca.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_canned_foods_ca.json,pending_physical_execution
